gene_name	mod_code	chrom	start0	end0	strand	n_tx_tested	test_name	stat_name	stat_value	p_value	effect_max_abs_frac_diff	per_transcript_json	p_adj_bh
MXD1	19229	chr2	69940472	69940473	+	3	chi2_3x2_pc0.5	chi2	6.1153016099414454	0.04699797304187307	0.008872	"[{""ZN"":1,""Ncov"":2136,""Nmod"":7,""frac"":0.0032771535580524347},{""ZN"":2,""Ncov"":789,""Nmod"":7,""frac"":0.008871989860583017},{""ZN"":3,""Ncov"":485,""Nmod"":0,""frac"":0.0}]"	0.12254031727919618
RIOK3	19227	chr18	23483116	23483117	+	4	chi2_4x2_pc0.5	chi2	7.9515108203168445	0.047024532844092075	0.010147	"[{""ZN"":1,""Ncov"":5894,""Nmod"":36,""frac"":0.006107906345436036},{""ZN"":3,""Ncov"":1774,""Nmod"":18,""frac"":0.010146561443066516},{""ZN"":5,""Ncov"":542,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":304,""Nmod"":0,""frac"":0.0}]"	0.12259711660135388
MXD1	19228	chr2	69915326	69915327	+	3	chi2_3x2_pc0.5	chi2	6.112750582475804	0.04705795784949303	0.007977	"[{""ZN"":1,""Ncov"":1755,""Nmod"":14,""frac"":0.007977207977207978},{""ZN"":2,""Ncov"":590,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":422,""Nmod"":0,""frac"":0.0}]"	0.12265934550839527
ALCAM	19227	chr3	105534832	105534833	+	3	chi2_3x2_pc0.5	chi2	6.11277226942507	0.04705744758048734	0.007563	"[{""ZN"":1,""Ncov"":4099,""Nmod"":31,""frac"":0.007562820200048792},{""ZN"":2,""Ncov"":761,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":292,""Nmod"":0,""frac"":0.0}]"	0.12265934550839527
MXD1	19229	chr2	69938176	69938177	+	3	chi2_3x2_pc0.5	chi2	6.1119323267505274	0.04707721451015771	0.008761	"[{""ZN"":1,""Ncov"":2154,""Nmod"":7,""frac"":0.0032497678737233053},{""ZN"":2,""Ncov"":799,""Nmod"":7,""frac"":0.008760951188986232},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.1226970813101288
ALCAM	69426	chr3	105367118	105367119	+	4	chi2_4x2_pc0.5	chi2	7.946593597061237	0.047128446587993374	0.008958	"[{""ZN"":1,""Ncov"":3014,""Nmod"":27,""frac"":0.008958195089581952},{""ZN"":2,""Ncov"":625,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":409,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":172,""Nmod"":0,""frac"":0.0}]"	0.12281813834199226
ALCAM	17802	chr3	105576286	105576287	+	2	fisher_exact_2x2	fisher_odds	0.37132616487455194	0.04713596742742954	0.004209	"[{""ZN"":1,""Ncov"":5594,""Nmod"":14,""frac"":0.0025026814444047193},{""ZN"":2,""Ncov"":894,""Nmod"":6,""frac"":0.006711409395973154}]"	0.12282526956932309
RIOK3	17802	chr18	23482559	23482560	+	4	chi2_4x2_pc0.5	chi2	7.944870274913491	0.047164917761082094	0.008341	"[{""ZN"":1,""Ncov"":5395,""Nmod"":45,""frac"":0.008341056533827619},{""ZN"":3,""Ncov"":1653,""Nmod"":6,""frac"":0.003629764065335753},{""ZN"":5,""Ncov"":514,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":295,""Nmod"":0,""frac"":0.0}]"	0.12288823391479747
RIOK3	m	chr18	23477052	23477053	+	6	chi2_6x2_pc0.5	chi2	11.220964626778523	0.047170708379886725	0.011194	"[{""ZN"":1,""Ncov"":5318,""Nmod"":44,""frac"":0.008273787138021812},{""ZN"":2,""Ncov"":2756,""Nmod"":12,""frac"":0.0043541364296081275},{""ZN"":3,""Ncov"":1751,""Nmod"":13,""frac"":0.0074243289548829245},{""ZN"":4,""Ncov"":1072,""Nmod"":12,""frac"":0.011194029850746268},{""ZN"":5,""Ncov"":534,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	0.12289084894747838
MXD1	19229	chr2	69915292	69915293	+	3	chi2_3x2_pc0.5	chi2	6.1021489060591145	0.0473080667783031	0.007288	"[{""ZN"":1,""Ncov"":1921,""Nmod"":14,""frac"":0.007287870900572618},{""ZN"":2,""Ncov"":629,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":478,""Nmod"":0,""frac"":0.0}]"	0.12323619384399769
ALCAM	m	chr3	105574876	105574877	+	3	chi2_3x2_pc0.5	chi2	6.1000200488418574	0.04735844964772761	0.014623	"[{""ZN"":1,""Ncov"":5557,""Nmod"":49,""frac"":0.00881770739607702},{""ZN"":2,""Ncov"":889,""Nmod"":13,""frac"":0.014623172103487065},{""ZN"":4,""Ncov"":384,""Nmod"":0,""frac"":0.0}]"	0.12335492282431647
ALCAM	17802	chr3	105576338	105576339	+	2	fisher_exact_2x2	fisher_odds	1.6404594200139602	0.04743069465137611	0.012936	"[{""ZN"":1,""Ncov"":5437,""Nmod"":184,""frac"":0.03384219238550671},{""ZN"":2,""Ncov"":861,""Nmod"":18,""frac"":0.020905923344947737}]"	0.12353056640865655
MXD1	19227	chr2	69938731	69938732	+	3	chi2_3x2_pc0.5	chi2	6.096212923329447	0.047448685286021024	0.028887	"[{""ZN"":1,""Ncov"":2011,""Nmod"":251,""frac"":0.12481352560914968},{""ZN"":2,""Ncov"":761,""Nmod"":73,""frac"":0.09592641261498029},{""ZN"":3,""Ncov"":469,""Nmod"":45,""frac"":0.09594882729211088}]"	0.12356488625103791
RIOK3	19227	chr18	23482096	23482097	+	4	chi2_4x2_pc0.5	chi2	7.9270149273872725	0.04754441677170491	0.004056	"[{""ZN"":1,""Ncov"":5775,""Nmod"":6,""frac"":0.001038961038961039},{""ZN"":3,""Ncov"":1726,""Nmod"":7,""frac"":0.004055619930475087},{""ZN"":5,""Ncov"":535,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":312,""Nmod"":0,""frac"":0.0}]"	0.12380162971530666
MXD1	19229	chr2	69916137	69916138	+	3	chi2_3x2_pc0.5	chi2	6.09044777501852	0.04758565696059769	0.007042	"[{""ZN"":1,""Ncov"":1988,""Nmod"":14,""frac"":0.007042253521126761},{""ZN"":2,""Ncov"":656,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":488,""Nmod"":0,""frac"":0.0}]"	0.1238964488329071
RIOK3	19229	chr18	23474960	23474961	+	6	chi2_6x2_pc0.5	chi2	11.197748936580247	0.047597152119263235	0.004165	"[{""ZN"":1,""Ncov"":5042,""Nmod"":21,""frac"":0.004165013883379611},{""ZN"":2,""Ncov"":2439,""Nmod"":7,""frac"":0.002870028700287003},{""ZN"":3,""Ncov"":1791,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1104,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":319,""Nmod"":0,""frac"":0.0}]"	0.12391381089197097
RIOK3	17802	chr18	23481693	23481694	+	4	chi2_4x2_pc0.5	chi2	7.922453881560295	0.04764183331547587	0.013611	"[{""ZN"":1,""Ncov"":5804,""Nmod"":79,""frac"":0.01361130254996554},{""ZN"":3,""Ncov"":1754,""Nmod"":12,""frac"":0.0068415051311288486},{""ZN"":5,""Ncov"":536,""Nmod"":6,""frac"":0.011194029850746268},{""ZN"":6,""Ncov"":314,""Nmod"":0,""frac"":0.0}]"	0.12399964331938916
RIOK3	19229	chr18	23482744	23482745	+	4	chi2_4x2_pc0.5	chi2	7.92209801355172	0.04764944224625172	0.011752	"[{""ZN"":1,""Ncov"":5909,""Nmod"":64,""frac"":0.010830935860551701},{""ZN"":3,""Ncov"":1787,""Nmod"":21,""frac"":0.011751538891997761},{""ZN"":5,""Ncov"":542,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.12399964331938916
ALCAM	a	chr3	105576784	105576785	+	2	fisher_exact_2x2	fisher_odds	0.6591270777739454	0.047640791454364326	0.0117	"[{""ZN"":1,""Ncov"":5459,""Nmod"":128,""frac"":0.023447517860413995},{""ZN"":2,""Ncov"":882,""Nmod"":31,""frac"":0.035147392290249435}]"	0.12399964331938916
ALCAM	17802	chr3	105520158	105520159	+	4	chi2_4x2_pc0.5	chi2	7.922234934106045	0.04764651456289007	0.007226	"[{""ZN"":1,""Ncov"":3598,""Nmod"":26,""frac"":0.007226236798221234},{""ZN"":2,""Ncov"":734,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":502,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":264,""Nmod"":0,""frac"":0.0}]"	0.12399964331938916
ALCAM	17596	chr3	105575799	105575800	+	3	chi2_3x2_pc0.5	chi2	6.087550249040387	0.04765464726244354	0.006336	"[{""ZN"":1,""Ncov"":5366,""Nmod"":34,""frac"":0.00633619083115915},{""ZN"":2,""Ncov"":869,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":386,""Nmod"":0,""frac"":0.0}]"	0.12400061874330535
RIOK3	17802	chr18	23482806	23482807	+	4	chi2_4x2_pc0.5	chi2	7.9211049767237	0.04767068095019557	0.003953	"[{""ZN"":1,""Ncov"":5934,""Nmod"":6,""frac"":0.0010111223458038423},{""ZN"":3,""Ncov"":1771,""Nmod"":7,""frac"":0.003952569169960474},{""ZN"":5,""Ncov"":540,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	0.12402976805041255
MXD1	19229	chr2	69916122	69916123	+	3	chi2_3x2_pc0.5	chi2	6.086549073203227	0.0476785085749714	0.007039	"[{""ZN"":1,""Ncov"":1989,""Nmod"":14,""frac"":0.007038712921065862},{""ZN"":2,""Ncov"":656,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":488,""Nmod"":0,""frac"":0.0}]"	0.12403756304587209
RIOK3	19229	chr18	23481629	23481630	+	4	chi2_4x2_pc0.5	chi2	7.920200493133703	0.04769003373016524	0.010711	"[{""ZN"":1,""Ncov"":5882,""Nmod"":63,""frac"":0.010710642638558313},{""ZN"":3,""Ncov"":1770,""Nmod"":14,""frac"":0.007909604519774011},{""ZN"":5,""Ncov"":543,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.12405497476145527
ALCAM	17596	chr3	105576133	105576134	+	2	fisher_exact_2x2	fisher_odds	0.3244816296835213	0.04770220222858748	0.003759	"[{""ZN"":1,""Ncov"":5508,""Nmod"":10,""frac"":0.0018155410312273058},{""ZN"":2,""Ncov"":897,""Nmod"":5,""frac"":0.005574136008918618}]"	0.1240740562930393
ALCAM	17596	chr3	105575494	105575495	+	3	chi2_3x2_pc0.5	chi2	6.0843977044785795	0.047729823195283724	0.006515	"[{""ZN"":1,""Ncov"":5219,""Nmod"":34,""frac"":0.006514657980456026},{""ZN"":2,""Ncov"":843,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":377,""Nmod"":0,""frac"":0.0}]"	0.1241333219602192
MXD1	17596	chr2	69940512	69940513	+	3	chi2_3x2_pc0.5	chi2	6.082605718567231	0.04777260794519725	0.030437	"[{""ZN"":1,""Ncov"":1861,""Nmod"":151,""frac"":0.08113917248790972},{""ZN"":2,""Ncov"":717,""Nmod"":80,""frac"":0.11157601115760112},{""ZN"":3,""Ncov"":412,""Nmod"":39,""frac"":0.09466019417475728}]"	0.12422846785327021
MXD1	19229	chr2	69940465	69940466	+	3	chi2_3x2_pc0.5	chi2	6.0824601423137326	0.047776085350394855	0.015054	"[{""ZN"":1,""Ncov"":1860,""Nmod"":28,""frac"":0.015053763440860216},{""ZN"":2,""Ncov"":666,""Nmod"":7,""frac"":0.010510510510510511},{""ZN"":3,""Ncov"":447,""Nmod"":0,""frac"":0.0}]"	0.12422846785327021
RIOK3	17802	chr18	23483027	23483028	+	4	chi2_4x2_pc0.5	chi2	7.913192476133471	0.0478402401771757	0.004065	"[{""ZN"":1,""Ncov"":5904,""Nmod"":24,""frac"":0.0040650406504065045},{""ZN"":3,""Ncov"":1782,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":542,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.12438268643188723
RIOK3	a	chr18	23482111	23482112	+	4	chi2_4x2_pc0.5	chi2	7.912862896268216	0.04784731556013078	0.004092	"[{""ZN"":1,""Ncov"":5865,""Nmod"":24,""frac"":0.004092071611253197},{""ZN"":3,""Ncov"":1774,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":535,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":317,""Nmod"":0,""frac"":0.0}]"	0.12438848456300532
MXD1	17596	chr2	69939902	69939903	+	3	chi2_3x2_pc0.5	chi2	6.078534522971225	0.04786995280461243	0.02119	"[{""ZN"":1,""Ncov"":2091,""Nmod"":66,""frac"":0.03156384505021521},{""ZN"":2,""Ncov"":785,""Nmod"":24,""frac"":0.030573248407643312},{""ZN"":3,""Ncov"":482,""Nmod"":5,""frac"":0.01037344398340249}]"	0.124422283905301
ALCAM	19228	chr3	105576756	105576757	+	2	fisher_exact_2x2	fisher_odds	0.584931506849315	0.04787166361569504	0.00937	"[{""ZN"":1,""Ncov"":5476,""Nmod"":74,""frac"":0.013513513513513514},{""ZN"":2,""Ncov"":874,""Nmod"":20,""frac"":0.02288329519450801}]"	0.124422283905301
MXD1	19228	chr2	69938366	69938367	+	3	chi2_3x2_pc0.5	chi2	6.078172149429873	0.04787862699257382	0.008696	"[{""ZN"":1,""Ncov"":2167,""Nmod"":7,""frac"":0.003230272265805261},{""ZN"":2,""Ncov"":805,""Nmod"":7,""frac"":0.008695652173913044},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.124422283905301
MXD1	a	chr2	69940058	69940059	+	3	chi2_3x2_pc0.5	chi2	6.07812719078556	0.047879703283751504	0.007998	"[{""ZN"":1,""Ncov"":2124,""Nmod"":10,""frac"":0.004708097928436911},{""ZN"":2,""Ncov"":787,""Nmod"":10,""frac"":0.012706480304955527},{""ZN"":3,""Ncov"":493,""Nmod"":5,""frac"":0.010141987829614604}]"	0.124422283905301
MXD1	19229	chr2	69915226	69915227	+	3	chi2_3x2_pc0.5	chi2	6.0775053944333335	0.04789459131038551	0.007392	"[{""ZN"":1,""Ncov"":1894,""Nmod"":14,""frac"":0.007391763463569166},{""ZN"":2,""Ncov"":608,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":480,""Nmod"":0,""frac"":0.0}]"	0.12444741247614718
ALCAM	69426	chr3	105575577	105575578	+	3	chi2_3x2_pc0.5	chi2	6.07731844930721	0.04789906834982901	0.005787	"[{""ZN"":1,""Ncov"":5400,""Nmod"":10,""frac"":0.001851851851851852},{""ZN"":2,""Ncov"":864,""Nmod"":5,""frac"":0.005787037037037037},{""ZN"":4,""Ncov"":375,""Nmod"":0,""frac"":0.0}]"	0.12444741247614718
MXD1	19227	chr2	69939702	69939703	+	3	chi2_3x2_pc0.5	chi2	6.076333157948634	0.04792267143239442	0.017824	"[{""ZN"":1,""Ncov"":2132,""Nmod"":40,""frac"":0.01876172607879925},{""ZN"":2,""Ncov"":804,""Nmod"":7,""frac"":0.008706467661691543},{""ZN"":3,""Ncov"":490,""Nmod"":13,""frac"":0.026530612244897958}]"	0.12449076224392287
RIOK3	19229	chr18	23482318	23482319	+	4	chi2_4x2_pc0.5	chi2	7.909226359347064	0.04792545198101783	0.008321	"[{""ZN"":1,""Ncov"":5889,""Nmod"":49,""frac"":0.008320597724571235},{""ZN"":3,""Ncov"":1766,""Nmod"":7,""frac"":0.003963759909399773},{""ZN"":5,""Ncov"":534,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":312,""Nmod"":0,""frac"":0.0}]"	0.12449076224392287
RIOK3	69426	chr18	23474983	23474984	+	6	chi2_6x2_pc0.5	chi2	11.179219372409765	0.04794012768825633	0.005736	"[{""ZN"":1,""Ncov"":4707,""Nmod"":27,""frac"":0.0057361376673040155},{""ZN"":2,""Ncov"":2276,""Nmod"":10,""frac"":0.004393673110720563},{""ZN"":3,""Ncov"":1683,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1012,""Nmod"":5,""frac"":0.004940711462450593},{""ZN"":5,""Ncov"":520,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":305,""Nmod"":0,""frac"":0.0}]"	0.1245162847038564
RIOK3	17802	chr18	23482050	23482051	+	4	chi2_4x2_pc0.5	chi2	7.9082719505078485	0.04794597944807665	0.004129	"[{""ZN"":1,""Ncov"":5812,""Nmod"":24,""frac"":0.0041293874741913286},{""ZN"":3,""Ncov"":1753,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":312,""Nmod"":0,""frac"":0.0}]"	0.12451888562377579
MXD1	19227	chr2	69939453	69939454	+	3	chi2_3x2_pc0.5	chi2	6.073032995277477	0.048001813015143335	0.006305	"[{""ZN"":1,""Ncov"":2062,""Nmod"":13,""frac"":0.006304558680892337},{""ZN"":2,""Ncov"":792,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":484,""Nmod"":0,""frac"":0.0}]"	0.12465127895253487
RIOK3	17802	chr18	23481679	23481680	+	4	chi2_4x2_pc0.5	chi2	7.904933900270197	0.04801784171698124	0.004123	"[{""ZN"":1,""Ncov"":5821,""Nmod"":24,""frac"":0.004123002920460402},{""ZN"":3,""Ncov"":1744,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":542,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.12468029053892407
MXD1	m	chr2	69938778	69938779	+	3	chi2_3x2_pc0.5	chi2	6.070436282331179	0.04806417695634709	0.017333	"[{""ZN"":1,""Ncov"":2065,""Nmod"":32,""frac"":0.01549636803874092},{""ZN"":2,""Ncov"":772,""Nmod"":6,""frac"":0.007772020725388601},{""ZN"":3,""Ncov"":478,""Nmod"":12,""frac"":0.02510460251046025}]"	0.12478798046352575
ALCAM	a	chr3	105575425	105575426	+	3	chi2_3x2_pc0.5	chi2	6.065672486251418	0.048178797378115854	0.015174	"[{""ZN"":1,""Ncov"":5471,""Nmod"":70,""frac"":0.012794735880095047},{""ZN"":2,""Ncov"":881,""Nmod"":10,""frac"":0.011350737797956867},{""ZN"":4,""Ncov"":377,""Nmod"":10,""frac"":0.026525198938992044}]"	0.12507291801911113
RIOK3	a	chr18	23482935	23482936	+	4	chi2_4x2_pc0.5	chi2	7.89709977835487	0.048186908418961394	0.004155	"[{""ZN"":1,""Ncov"":5776,""Nmod"":24,""frac"":0.004155124653739612},{""ZN"":3,""Ncov"":1738,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":535,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":309,""Nmod"":0,""frac"":0.0}]"	0.12508132587781365
RIOK3	m	chr18	23481875	23481876	+	4	chi2_4x2_pc0.5	chi2	7.89577807634725	0.04821548888691199	0.011287	"[{""ZN"":1,""Ncov"":5856,""Nmod"":46,""frac"":0.007855191256830601},{""ZN"":3,""Ncov"":1772,""Nmod"":20,""frac"":0.011286681715575621},{""ZN"":5,""Ncov"":538,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":319,""Nmod"":0,""frac"":0.0}]"	0.12514286024717466
MXD1	17802	chr2	69939720	69939721	+	3	chi2_3x2_pc0.5	chi2	6.06243907268237	0.04825675136409698	0.013289	"[{""ZN"":1,""Ncov"":2107,""Nmod"":28,""frac"":0.013289036544850499},{""ZN"":2,""Ncov"":795,""Nmod"":7,""frac"":0.00880503144654088},{""ZN"":3,""Ncov"":493,""Nmod"":0,""frac"":0.0}]"	0.12523498785402717
RIOK3	m	chr18	23481752	23481753	+	4	chi2_4x2_pc0.5	chi2	7.893686968528228	0.048260740684009464	0.010101	"[{""ZN"":1,""Ncov"":5878,""Nmod"":36,""frac"":0.006124532153793808},{""ZN"":3,""Ncov"":1782,""Nmod"":18,""frac"":0.010101010101010102},{""ZN"":5,""Ncov"":534,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	0.12523498785402717
ALCAM	a	chr3	105574676	105574677	+	3	chi2_3x2_pc0.5	chi2	6.060091666106319	0.048313423723603914	0.022667	"[{""ZN"":1,""Ncov"":5237,""Nmod"":350,""frac"":0.06683215581439755},{""ZN"":2,""Ncov"":838,""Nmod"":75,""frac"":0.08949880668257756},{""ZN"":4,""Ncov"":361,""Nmod"":27,""frac"":0.07479224376731301}]"	0.12534635814374528
RIOK3	m	chr18	23482329	23482330	+	4	chi2_4x2_pc0.5	chi2	7.891329414691167	0.048311807978037725	0.00404	"[{""ZN"":1,""Ncov"":5940,""Nmod"":24,""frac"":0.00404040404040404},{""ZN"":3,""Ncov"":1792,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":542,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.12534635814374528
RIOK3	17802	chr18	23482574	23482575	+	4	chi2_4x2_pc0.5	chi2	7.89001696341694	0.048340259950279824	0.004086	"[{""ZN"":1,""Ncov"":5874,""Nmod"":24,""frac"":0.0040858018386108275},{""ZN"":3,""Ncov"":1776,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":530,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	0.12540330976592398
RIOK3	69426	chr18	23483135	23483136	+	4	chi2_4x2_pc0.5	chi2	7.888829029941775	0.0483660266250345	0.015244	"[{""ZN"":1,""Ncov"":4019,""Nmod"":42,""frac"":0.010450360786265241},{""ZN"":3,""Ncov"":1312,""Nmod"":20,""frac"":0.01524390243902439},{""ZN"":5,""Ncov"":416,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":208,""Nmod"":0,""frac"":0.0}]"	0.1254526879296687
ALCAM	a	chr3	105574875	105574876	+	3	chi2_3x2_pc0.5	chi2	6.057789534748895	0.04836906766624575	0.006168	"[{""ZN"":1,""Ncov"":5512,""Nmod"":34,""frac"":0.006168359941944848},{""ZN"":2,""Ncov"":898,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":386,""Nmod"":0,""frac"":0.0}]"	0.1254526879296687
RIOK3	m	chr18	23482509	23482510	+	4	chi2_4x2_pc0.5	chi2	7.883355190161176	0.04848492886201811	0.004049	"[{""ZN"":1,""Ncov"":5928,""Nmod"":24,""frac"":0.004048582995951417},{""ZN"":3,""Ncov"":1792,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	0.12574048830646822
RIOK3	17802	chr18	23473437	23473438	+	6	chi2_6x2_pc0.5	chi2	11.148157211042662	0.048520317432802045	0.01107	"[{""ZN"":1,""Ncov"":4725,""Nmod"":33,""frac"":0.006984126984126984},{""ZN"":2,""Ncov"":2195,""Nmod"":19,""frac"":0.008656036446469248},{""ZN"":3,""Ncov"":1781,""Nmod"":13,""frac"":0.0072992700729927005},{""ZN"":4,""Ncov"":1070,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":542,""Nmod"":6,""frac"":0.01107011070110701},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.1258195544580701
MXD1	a	chr2	69938747	69938748	+	3	chi2_3x2_pc0.5	chi2	6.046064846307449	0.04865345656889309	0.006921	"[{""ZN"":1,""Ncov"":2132,""Nmod"":7,""frac"":0.003283302063789869},{""ZN"":2,""Ncov"":789,""Nmod"":7,""frac"":0.008871989860583017},{""ZN"":3,""Ncov"":490,""Nmod"":5,""frac"":0.01020408163265306}]"	0.12615205908863988
MXD1	17802	chr2	69915300	69915301	+	3	chi2_3x2_pc0.5	chi2	6.045559631870617	0.048665748335652424	0.007307	"[{""ZN"":1,""Ncov"":1916,""Nmod"":14,""frac"":0.007306889352818371},{""ZN"":2,""Ncov"":624,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":472,""Nmod"":0,""frac"":0.0}]"	0.1261711867575105
ALCAM	19229	chr3	105576552	105576553	+	2	fisher_exact_2x2	fisher_odds	1.57480264833206	0.048703711578887345	0.013296	"[{""ZN"":1,""Ncov"":5439,""Nmod"":203,""frac"":0.03732303732303732},{""ZN"":2,""Ncov"":874,""Nmod"":21,""frac"":0.02402745995423341}]"	0.12625685990641178
ALCAM	17596	chr3	105576640	105576641	+	2	fisher_exact_2x2	fisher_odds	0.32669322709163345	0.04880748528570793	0.004285	"[{""ZN"":1,""Ncov"":4779,""Nmod"":10,""frac"":0.002092487968194183},{""ZN"":2,""Ncov"":784,""Nmod"":5,""frac"":0.006377551020408163}]"	0.12651310200471466
MXD1	a	chr2	69940112	69940113	+	2	fisher_exact_2x2	fisher_odds	0.2604166666666667	0.04882623064238266	0.117162	"[{""ZN"":1,""Ncov"":101,""Nmod"":5,""frac"":0.04950495049504951},{""ZN"":2,""Ncov"":30,""Nmod"":5,""frac"":0.16666666666666666}]"	0.12654891398801085
MXD1	19229	chr2	69939299	69939300	+	3	chi2_3x2_pc0.5	chi2	6.038712526596713	0.04883264361106539	0.008674	"[{""ZN"":1,""Ncov"":2165,""Nmod"":7,""frac"":0.003233256351039261},{""ZN"":2,""Ncov"":807,""Nmod"":7,""frac"":0.008674101610904586},{""ZN"":3,""Ncov"":495,""Nmod"":0,""frac"":0.0}]"	0.12655275860925405
MXD1	19227	chr2	69938173	69938174	+	3	chi2_3x2_pc0.5	chi2	6.0376567355922806	0.04885842894937225	0.017524	"[{""ZN"":1,""Ncov"":2027,""Nmod"":33,""frac"":0.016280217069560926},{""ZN"":2,""Ncov"":770,""Nmod"":6,""frac"":0.007792207792207792},{""ZN"":3,""Ncov"":474,""Nmod"":12,""frac"":0.02531645569620253}]"	0.12660680205796754
MXD1	19229	chr2	69939582	69939583	+	3	chi2_3x2_pc0.5	chi2	6.035189809062761	0.0489187312093209	0.008674	"[{""ZN"":1,""Ncov"":2164,""Nmod"":7,""frac"":0.003234750462107209},{""ZN"":2,""Ncov"":807,""Nmod"":7,""frac"":0.008674101610904586},{""ZN"":3,""Ncov"":495,""Nmod"":0,""frac"":0.0}]"	0.12675026923755411
ALCAM	a	chr3	105575538	105575539	+	3	chi2_3x2_pc0.5	chi2	6.0342730834459495	0.04894115887595313	0.011403	"[{""ZN"":1,""Ncov"":5529,""Nmod"":32,""frac"":0.0057876650388858746},{""ZN"":2,""Ncov"":877,""Nmod"":10,""frac"":0.011402508551881414},{""ZN"":4,""Ncov"":378,""Nmod"":0,""frac"":0.0}]"	0.12679558287046813
RIOK3	19229	chr18	23482631	23482632	+	4	chi2_4x2_pc0.5	chi2	7.862239399339628	0.048946275343469306	0.018464	"[{""ZN"":1,""Ncov"":5741,""Nmod"":106,""frac"":0.018463682285316148},{""ZN"":3,""Ncov"":1745,""Nmod"":21,""frac"":0.012034383954154728},{""ZN"":5,""Ncov"":525,""Nmod"":7,""frac"":0.013333333333333334},{""ZN"":6,""Ncov"":311,""Nmod"":0,""frac"":0.0}]"	0.12679604244374815
